DUB
MAD
BUD
LIS
MAN
ATH
FEZ
BCN
STN
FAO
OPO
ALC
LTN
ORK
EDI
HHN
LPL
PSA
VLC
ZAD
BRE
EIN
CAG
BRS
SNN
BRI
CIA
CGN
ACE
MRS
TFS
BHX
PMO
